xs,zs,ys,xd,zd,yd,x,z,y,source-detector pair Id
-13.04,3.937,39.89,14.34,14.05,19.48,18.72683984,15.67031086,16.2098977,1
-13.04,3.937,39.89,-11.62,13.49,16.99,-11.56777808,13.84132113,16.14782961,2
-13.04,3.937,39.89,-26.82,2.332,-38.94,-17.03453715,3.471743677,17.0388125,3
-13.04,3.937,39.89,4.984,2.532,-38.74,6.837380116,2.387526017,-46.8254016,4
-13.04,3.937,39.89,52.84,20.79,-2.939,32.34875387,15.54806055,10.38248726,5
-13.04,3.937,39.89,6.548,17.06,-18.67,-8.731061799,6.823777415,27.008061,6
-13.04,3.937,39.89,46.28,8.785,26.2,36.57492987,7.991841201,28.43975742,7
-10.76,0.06819,-33.04,14.34,14.05,19.48,-9.845301888,0.577717299,-31.12605798,8
-10.76,0.06819,-33.04,-11.62,13.49,16.99,-10.79283737,0.580674753,-31.12970532,9
-10.76,0.06819,-33.04,-26.82,2.332,-38.94,-82.58382851,10.19244288,-59.42608893,10
-10.76,0.06819,-33.04,52.84,20.79,-2.939,19.33583259,9.873852338,-18.79605886,11
-10.76,0.06819,-33.04,6.548,17.06,-18.67,-6.665055335,4.088326452,-29.64016438,12
-10.76,0.06819,-33.04,46.28,8.785,26.2,75.22534638,13.20840611,56.26175174,13
-5.51,0.1178,70.86,14.34,14.05,19.48,16.64854996,15.67031133,13.50451904,14
-5.51,0.1178,70.86,-11.62,13.49,16.99,-11.78052501,13.84132121,15.57470007,15
-5.51,0.1178,70.86,-26.82,2.332,-38.94,-30.58857749,2.723571294,-58.35763531,16
-5.51,0.1178,70.86,4.984,2.532,-38.74,7.716552957,3.160638207,-67.27895598,17
-5.51,0.1178,70.86,52.84,20.79,-2.939,4.567257502,3.687964225,58.11464393,18
-5.51,0.1178,70.86,6.548,17.06,-18.67,6.548509956,17.06071652,-18.6737864,19
-5.51,0.1178,70.86,46.28,8.785,26.2,82.95180791,14.92212866,-5.42315005,20
22.1,10.56,4.901,14.34,14.05,19.48,19.37767654,11.78434393,10.01553011,21
22.1,10.56,4.901,-11.62,13.49,16.99,-11.73832603,13.50028159,17.03242121,23
22.1,10.56,4.901,-26.82,2.332,-38.94,14.97485534,9.361600772,-1.484393845,24
22.1,10.56,4.901,4.984,2.532,-38.74,19.590767,9.383082347,-1.49684047,25
22.1,10.56,4.901,52.84,20.79,-2.939,38.18894801,15.91425953,0.797637854,26
22.1,10.56,4.901,6.548,17.06,-18.67,6.548526036,17.05978014,-18.66920273,27
22.1,10.56,4.901,46.28,8.785,26.2,52.6863794,8.314721942,31.84307175,28
-30.14,0.07523,33.14,14.34,14.05,19.48,14.53691495,14.11186693,19.41952657,29
-30.14,0.07523,33.14,-11.62,13.49,16.99,-11.28662847,13.73147421,16.69928994,30
-30.14,0.07523,33.14,-26.82,2.332,-38.94,-25.61150527,3.153474293,-65.17743982,31
-30.14,0.07523,33.14,4.984,2.532,-38.74,-11.31087413,1.392244906,-5.393127413,32
-30.14,0.07523,33.14,52.84,20.79,-2.939,14.58296813,11.23967925,13.69483288,33
-30.14,0.07523,33.14,6.548,17.06,-18.67,6.54852066,17.06024104,-18.67073526,34
-30.14,0.07523,33.14,46.28,8.785,26.2,36.56161248,7.677372152,27.0825649,35
-66.22,1.057,61.38,14.34,14.05,19.48,52.76115947,20.24669966,-0.503199872,36
-66.22,1.057,61.38,-11.62,13.49,16.99,-11.67208003,13.47814083,17.03234125,37
-66.22,1.057,61.38,-26.82,2.332,-38.94,-45.9301225,1.713588675,9.718058104,38
-66.22,1.057,61.38,4.984,2.532,-38.74,11.66549495,2.670408026,-48.13485526,39
-66.22,1.057,61.38,52.84,20.79,-2.939,21.95011325,15.67031131,13.74844017,40
-66.22,1.057,61.38,6.548,17.06,-18.67,-11.30389262,13.13404577,0.968357583,41
-66.22,1.057,61.38,46.28,8.785,26.2,46.27993044,8.784995222,26.20002175,42
-23.29,0.1975,9.079,14.34,14.05,19.48,-11.29135178,4.614488424,12.39544805,43
-23.29,0.1975,9.079,-11.62,13.49,16.99,-21.78862604,1.907612544,10.09676944,44
-23.29,0.1975,9.079,-26.82,2.332,-38.94,-25.79348796,1.711294633,-24.97623751,45
-23.29,0.1975,9.079,4.984,2.532,-38.74,9.771064193,2.927253638,-46.83622348,46
-23.29,0.1975,9.079,52.84,20.79,-2.939,-21.69900603,0.627849971,8.827843222,47
-23.29,0.1975,9.079,6.548,17.06,-18.67,-11.30722146,6.9693883,-2.064847498,48
-23.29,0.1975,9.079,46.28,8.785,26.2,95.36922597,14.84441826,38.28073362,49
