Pair_id(numberOfIntersections), sx, sy, sz, dx, dy, dz, x, y, z, t, triId
0(1),-13.04, 3.937, 39.89,27.38, 10.113, -20.41,-9.28199, 5.32505, 37.0886, 0.137254,462
1(2),-13.04, 3.937, 39.89,1.42, 9.553, -22.9,-12.8661, 5.10713, 37.085, 0.122488,462
1(2),-13.04, 3.937, 39.89,1.42, 9.553, -22.9,-11.6226, 13.4724, 17.0323, 0.998153,727
2(9),-13.04, 3.937, 39.89,-13.78, -1.605, -78.83,-13.5304, 3.87988, 37.0844, 0.0355911,461
2(9),-13.04, 3.937, 39.89,-13.78, -1.605, -78.83,-13.5296, 3.87998, 37.0892, 0.0355293,498
2(9),-13.04, 3.937, 39.89,-13.78, -1.605, -78.83,-14.4002, 3.77857, 32.1087, 0.0987095,516
2(9),-13.04, 3.937, 39.89,-13.78, -1.605, -78.83,-14.3994, 3.77866, 32.1131, 0.0986538,490
2(9),-13.04, 3.937, 39.89,-13.78, -1.605, -78.83,-15.2853, 3.67548, 27.0454, 0.16294,511
2(9),-13.04, 3.937, 39.89,-13.78, -1.605, -78.83,-17.0345, 3.47174, 17.0388, 0.289879,727
2(9),-13.04, 3.937, 39.89,-13.78, -1.605, -78.83,-21.7186, 2.92618, -9.7569, 0.629797,734
2(9),-13.04, 3.937, 39.89,-13.78, -1.605, -78.83,-24.38, 2.6162, -24.9815, 0.822929,1358
2(9),-13.04, 3.937, 39.89,-13.78, -1.605, -78.83,-25.4736, 2.48882, -31.2378, 0.902293,1354
3(5),-13.04, 3.937, 39.89,18.024, -1.405, -78.63,-12.3971, 3.88689, 37.0855, 0.035667,461
3(5),-13.04, 3.937, 39.89,18.024, -1.405, -78.63,-12.3986, 3.887, 37.0918, 0.0355868,498
3(5),-13.04, 3.937, 39.89,18.024, -1.405, -78.63,-11.2451, 3.79709, 32.0598, 0.0995833,515
3(5),-13.04, 3.937, 39.89,18.024, -1.405, -78.63,-11.2465, 3.7972, 32.066, 0.0995039,490
3(5),-13.04, 3.937, 39.89,18.024, -1.405, -78.63,-10.0889, 3.70696, 27.0158, 0.163731,512
4(7),-13.04, 3.937, 39.89,65.88, 16.853, -42.829,-8.73179, 5.0391, 37.0892, 0.0653948,462
4(7),-13.04, 3.937, 39.89,65.88, 16.853, -42.829,5.62422, 8.71156, 27.7563, 0.283306,161
4(7),-13.04, 3.937, 39.89,65.88, 16.853, -42.829,7.8389, 9.27811, 26.3165, 0.316923,228
4(7),-13.04, 3.937, 39.89,65.88, 16.853, -42.829,16.3196, 11.4476, 20.8031, 0.445653,271
4(7),-13.04, 3.937, 39.89,65.88, 16.853, -42.829,32.3434, 15.5467, 10.386, 0.68888,281
4(7),-13.04, 3.937, 39.89,65.88, 16.853, -42.829,32.3488, 15.5481, 10.3825, 0.688961,265
4(7),-13.04, 3.937, 39.89,65.88, 16.853, -42.829,33.7802, 15.9143, 9.45187, 0.71069,293
5(5),-13.04, 3.937, 39.89,19.588, 13.123, -58.56,-12.102, 4.56541, 37.0858, 0.0478859,462
5(5),-13.04, 3.937, 39.89,19.588, 13.123, -58.56,-12.1042, 4.56391, 37.0925, 0.0477717,498
5(5),-13.04, 3.937, 39.89,19.588, 13.123, -58.56,-11.9176, 4.68897, 36.5344, 0.0573017,504
5(5),-13.04, 3.937, 39.89,19.588, 13.123, -58.56,-10.4165, 5.6946, 32.0469, 0.133933,515
5(5),-13.04, 3.937, 39.89,19.588, 13.123, -58.56,-8.73106, 6.82378, 27.0081, 0.219978,512
6(9),-13.04, 3.937, 39.89,59.32, 4.848, -13.69,-6.30853, 4.48714, 38.3365, 0.113477,475
6(9),-13.04, 3.937, 39.89,59.32, 4.848, -13.69,5.68354, 5.4672, 35.5689, 0.315636,169
6(9),-13.04, 3.937, 39.89,59.32, 4.848, -13.69,21.4038, 6.75196, 31.941, 0.580643,214
6(9),-13.04, 3.937, 39.89,59.32, 4.848, -13.69,31.1399, 7.54766, 29.6941, 0.744773,54
6(9),-13.04, 3.937, 39.89,59.32, 4.848, -13.69,36.5749, 7.99184, 28.4398, 0.836395,48
6(9),-13.04, 3.937, 39.89,59.32, 4.848, -13.69,40.5817, 8.3193, 27.5151, 0.90394,45
6(9),-13.04, 3.937, 39.89,59.32, 4.848, -13.69,42.4, 8.4679, 27.0954, 0.934592,42
6(9),-13.04, 3.937, 39.89,59.32, 4.848, -13.69,44.3482, 8.62712, 26.6458, 0.967435,116
6(9),-13.04, 3.937, 39.89,59.32, 4.848, -13.69,46.2799, 8.78499, 26.2, 0.999999,114
7(4),-10.76, 0.06819, -33.04,25.1, 13.9818, 52.52,-9.8453, 0.577718, -31.1261, 0.0364422,1361
7(4),-10.76, 0.06819, -33.04,25.1, 13.9818, 52.52,-6.93952, 2.19636, -25.0459, 0.15221,1357
7(4),-10.76, 0.06819, -33.04,25.1, 13.9818, 52.52,5.29991, 9.01427, 0.564251, 0.639837,287
7(4),-10.76, 0.06819, -33.04,25.1, 13.9818, 52.52,9.83593, 11.541, 10.0555, 0.820555,289
8(3),-10.76, 0.06819, -33.04,-0.86, 13.4218, 50.03,-10.7928, 0.580675, -31.1297, 0.038183,1361
8(3),-10.76, 0.06819, -33.04,-0.86, 13.4218, 50.03,-10.8977, 2.21673, -25.0313, 0.160078,1357
8(3),-10.76, 0.06819, -33.04,-0.86, 13.4218, 50.03,-11.3063, 8.59471, -1.25727, 0.635273,730
9(2),-10.76, 0.06819, -33.04,-16.06, 2.26381, -5.9,-12.5928, 0.326537, -33.7133, 0.11412,1363
9(2),-10.76, 0.06819, -33.04,-16.06, 2.26381, -5.9,-18.7197, 1.19019, -35.9642, 0.495624,1352
10(6),-10.76, 0.06819, -33.04,63.6, 20.7218, 30.101,-6.6904, 1.39413, -31.1139, 0.0639875,1362
10(6),-10.76, 0.06819, -33.04,63.6, 20.7218, 30.101,-6.66089, 1.40374, -31.0999, 0.0644515,1359
10(6),-10.76, 0.06819, -33.04,63.6, 20.7218, 30.101,5.52267, 5.37332, -25.3336, 0.256017,1375
10(6),-10.76, 0.06819, -33.04,63.6, 20.7218, 30.101,7.03323, 5.86549, -24.6187, 0.279768,1378
10(6),-10.76, 0.06819, -33.04,63.6, 20.7218, 30.101,19.3358, 9.87385, -18.7961, 0.473205,298
10(6),-10.76, 0.06819, -33.04,63.6, 20.7218, 30.101,41.6138, 17.1323, -8.25222, 0.823487,305
11(2),-10.76, 0.06819, -33.04,17.308, 16.9918, 14.37,-8.44827, 2.33769, -31.1207, 0.133564,1362
11(2),-10.76, 0.06819, -33.04,17.308, 16.9918, 14.37,-6.66506, 4.08833, -29.6402, 0.236593,1360
12(10),-10.76, 0.06819, -33.04,57.04, 8.71681, 59.24,-8.91368, 0.350343, -31.1225, 0.0323688,1361
12(10),-10.76, 0.06819, -33.04,57.04, 8.71681, 59.24,-6.66748, 0.693605, -28.7896, 0.0717482,1359
12(10),-10.76, 0.06819, -33.04,57.04, 8.71681, 59.24,6.56122, 2.71521, -15.0507, 0.303668,300
12(10),-10.76, 0.06819, -33.04,57.04, 8.71681, 59.24,19.614, 4.70992, -1.49451, 0.532503,302
12(10),-10.76, 0.06819, -33.04,57.04, 8.71681, 59.24,19.6117, 4.70957, -1.4969, 0.532463,284
12(10),-10.76, 0.06819, -33.04,57.04, 8.71681, 59.24,31.0581, 6.45879, 10.391, 0.733136,281
12(10),-10.76, 0.06819, -33.04,57.04, 8.71681, 59.24,31.0555, 6.4584, 10.3883, 0.733091,264
12(10),-10.76, 0.06819, -33.04,57.04, 8.71681, 59.24,38.9104, 7.65878, 18.5461, 0.870799,273
12(10),-10.76, 0.06819, -33.04,57.04, 8.71681, 59.24,46.263, 8.7824, 26.1823, 0.999701,41
12(10),-10.76, 0.06819, -33.04,57.04, 8.71681, 59.24,46.2799, 8.78499, 26.1999, 0.999999,114
13(2),-5.51, 0.1178, 70.86,19.85, 13.9322, -51.38,5.20439, 7.63795, 43.1267, 0.539768,175
13(2),-5.51, 0.1178, 70.86,19.85, 13.9322, -51.38,11.3646, 11.9617, 27.1814, 0.850108,223
14(5),-5.51, 0.1178, 70.86,-6.11, 13.3722, -53.87,-6.50067, 2.28595, 62.1256, 0.162138,314
14(5),-5.51, 0.1178, 70.86,-6.11, 13.3722, -53.87,-7.28115, 3.99409, 55.2443, 0.289877,317
14(5),-5.51, 0.1178, 70.86,-6.11, 13.3722, -53.87,-8.80861, 7.33706, 41.7772, 0.53987,470
14(5),-5.51, 0.1178, 70.86,-6.11, 13.3722, -53.87,-8.99621, 7.74763, 40.1232, 0.570574,481
14(5),-5.51, 0.1178, 70.86,-6.11, 13.3722, -53.87,-11.6152, 13.4795, 17.0323, 0.999215,727
15(14),-5.51, 0.1178, 70.86,-21.31, 2.2142, -109.8,-6.4596, 0.216468, 65.9672, 0.0445614,314
15(14),-5.51, 0.1178, 70.86,-21.31, 2.2142, -109.8,-8.53806, 0.432429, 55.2579, 0.142096,316
15(14),-5.51, 0.1178, 70.86,-21.31, 2.2142, -109.8,-10.1848, 0.603527, 46.7733, 0.219369,441
15(14),-5.51, 0.1178, 70.86,-21.31, 2.2142, -109.8,-11.1506, 0.703878, 41.797, 0.26469,469
15(14),-5.51, 0.1178, 70.86,-21.31, 2.2142, -109.8,-11.1506, 0.703878, 41.797, 0.26469,451
15(14),-5.51, 0.1178, 70.86,-21.31, 2.2142, -109.8,-12.0649, 0.798882, 37.0858, 0.307597,461
15(14),-5.51, 0.1178, 70.86,-21.31, 2.2142, -109.8,-12.0636, 0.798746, 37.0926, 0.307536,497
15(14),-5.51, 0.1178, 70.86,-21.31, 2.2142, -109.8,-13.035, 0.899676, 32.0875, 0.353119,515
15(14),-5.51, 0.1178, 70.86,-21.31, 2.2142, -109.8,-13.034, 0.899572, 32.0927, 0.353072,489
15(14),-5.51, 0.1178, 70.86,-21.31, 2.2142, -109.8,-14.0149, 1.0015, 27.0382, 0.399106,511
15(14),-5.51, 0.1178, 70.86,-21.31, 2.2142, -109.8,-15.9559, 1.20317, 17.0375, 0.490187,727
15(14),-5.51, 0.1178, 70.86,-21.31, 2.2142, -109.8,-21.7217, 1.80226, -12.6708, 0.760754,734
15(14),-5.51, 0.1178, 70.86,-21.31, 2.2142, -109.8,-24.1111, 2.05054, -24.9825, 0.872882,1358
15(14),-5.51, 0.1178, 70.86,-21.31, 2.2142, -109.8,-25.3251, 2.17667, -31.2375, 0.92985,1353
17(4),-5.51, 0.1178, 70.86,58.35, 20.6722, -73.799,4.56726, 3.68796, 58.1146, 0.172704,181
17(4),-5.51, 0.1178, 70.86,58.35, 20.6722, -73.799,20.5212, 9.34012, 37.9366, 0.446122,208
17(4),-5.51, 0.1178, 70.86,58.35, 20.6722, -73.799,34.0873, 14.1463, 20.7787, 0.678617,271
17(4),-5.51, 0.1178, 70.86,58.35, 20.6722, -73.799,38.389, 15.6703, 15.3381, 0.752339,279
19(4),-5.51, 0.1178, 70.86,51.79, 8.6672, -44.66,4.58628, 1.80744, 62.1537, 0.194946,180
19(4),-5.51, 0.1178, 70.86,51.79, 8.6672, -44.66,19.322, 4.27351, 49.4466, 0.479475,199
19(4),-5.51, 0.1178, 70.86,51.79, 8.6672, -44.66,30.1908, 6.09242, 40.0742, 0.689337,66
19(4),-5.51, 0.1178, 70.86,51.79, 8.6672, -44.66,46.2799, 8.78499, 26.2001, 0.999999,114
20(3),22.1, 10.56, 4.901,-7.76, 3.49, 14.579,19.3777, 11.7843, 10.0155, 0.350815,289
20(3),22.1, 10.56, 4.901,-7.76, 3.49, 14.579,19.3759, 11.7851, 10.0188, 0.351042,267
20(3),22.1, 10.56, 4.901,-7.76, 3.49, 14.579,14.5394, 13.9603, 19.1053, 0.974299,269
21(2),22.1, 10.56, 4.901,-33.72, 2.93, 12.089,7.69735, 11.8115, 10.0645, 0.427125,289
21(2),22.1, 10.56, 4.901,-33.72, 2.93, 12.089,-11.2864, 13.461, 16.8704, 0.990108,730
22(5),22.1, 10.56, 4.901,-48.92, -8.228, -43.841,14.978, 9.36213, -1.48159, 0.145585,303
22(5),22.1, 10.56, 4.901,-48.92, -8.228, -43.841,14.9749, 9.3616, -1.48439, 0.145649,284
22(5),22.1, 10.56, 4.901,-48.92, -8.228, -43.841,6.58243, 7.95005, -9.0055, 0.317203,300
22(5),22.1, 10.56, 4.901,-48.92, -8.228, -43.841,-15.4816, 4.23904, -28.7788, 0.768225,1367
22(5),22.1, 10.56, 4.901,-48.92, -8.228, -43.841,-18.7337, 3.69206, -31.6933, 0.834704,1351
23(5),22.1, 10.56, 4.901,-17.116, -8.028, -43.641,19.5917, 9.38352, -1.49444, 0.146547,303
23(5),22.1, 10.56, 4.901,-17.116, -8.028, -43.641,19.5908, 9.38308, -1.49684, 0.146602,284
23(5),22.1, 10.56, 4.901,-17.116, -8.028, -43.641,12.816, 6.20547, -18.7706, 0.542417,298
23(5),22.1, 10.56, 4.901,-17.116, -8.028, -43.641,10.517, 5.12715, -24.6325, 0.676738,1377
23(5),22.1, 10.56, 4.901,-17.116, -8.028, -43.641,7.02083, 3.48734, -33.5467, 0.880998,1373
24(1),22.1, 10.56, 4.901,30.74, 10.23, -7.84,38.1889, 15.9143, 0.797639, 0.523388,292
25(3),22.1, 10.56, 4.901,-15.552, 6.5, -23.571,17.8835, 12.3223, -1.48968, 0.271125,303
25(3),22.1, 10.56, 4.901,-15.552, 6.5, -23.571,17.8818, 12.323, -1.49223, 0.271233,285
25(3),22.1, 10.56, 4.901,-15.552, 6.5, -23.571,6.54853, 17.0598, -18.6692, 0.999966,301
26(5),22.1, 10.56, 4.901,24.18, -1.775, 21.299,28.3445, 10.1016, 10.4015, 0.258251,281
26(5),22.1, 10.56, 4.901,24.18, -1.775, 21.299,28.3433, 10.1017, 10.4004, 0.258202,264
26(5),22.1, 10.56, 4.901,24.18, -1.775, 21.299,38.896, 9.32704, 19.6958, 0.694625,273
26(5),22.1, 10.56, 4.901,24.18, -1.775, 21.299,46.2599, 8.78647, 26.1823, 0.99917,41
